Area,Location,HasFurniture,HasAirConditioner,MaxPeople,Type,Price
40,7,1,1,4,Standard,8500000
35,7,1,1,3,Standard,7600000
40,7,1,1,4,Prenium,8500000
38,7,1,1,3,Prenium,7500000
45,7,1,1,4,Prenium,10600000
40,7,0,1,4,Prenium,8500000
50,1,0,1,4,Prenium,1200000
55,1,1,1,5,VIP,13000000
35,4,0,0,3,Prenium,7500000
40,1,1,0,4,Prenium,8000000
40,7,0,1,4,Prenium,7900000
40,7,1,1,4,Prenium,8300000
40,1,1,1,4,Prenium,7600000
40,4,1,0,4,Prenium,9100000
35,4,1,0,5,VIP,12300000
55,4,0,0,4,Prenium,7200000
50,1,0,1,2,Prenium,6400000
35,1,1,0,2,Prenium,7100000
30,1,1,1,3,Prenium,7900000
40,7,1,1,2,Prenium,6500000
